					CPU占用率(%)	用户态CPU占用率(%)	cpu空闲率(%)	cpu处理中断请求的百分比(%)	cpu处理dpc请求的百分比(%)	DPC比率		DPC队列长度		中断响应频率	
2014-03-24 17:46:32	  0.0				  0.0				  0.0				  0.0						  0.0				  6.0			  0.0			  0.0
2014-03-24 17:46:33	  0.8				  0.0				 99.2				  0.0						  0.0				  1.0			 56.3			175.8
2014-03-24 17:46:34	  0.8				  0.8				 99.2				  0.0						  0.0				  2.0			 67.0			185.0
2014-03-24 17:46:35	  0.0				  0.0				100.0				  0.0						  0.0				  1.0			 56.0			175.0
2014-03-24 17:46:36	  0.0				  0.0				100.0				  0.0						  0.0				  1.0			 66.0			184.0
2014-03-24 17:46:37	  1.6				  0.0				 98.4				  0.0						  0.8				  4.0			165.0			240.0
			Time		%Processor Time	%User Time	%Idle Time	%Interrupt Time	%DPC Time	DPC Rate	DPCs Queued/sec	Interrupts/sec	
2014-03-24 18:35:52	  0.0				  0.0				  0.0				  0.0						  0.0				  5.0			  0.0			  0.0
2014-03-24 18:35:53	  3.1				  0.0				 96.9				  0.0						  2.3				  3.0			248.3			287.5
2014-03-24 18:35:54	  1.6				  0.0				 98.4				  0.0						  1.6				  3.0			201.0			251.0
		Time		%Processor Time	%User Time	%Idle Time	%Interrupt Time	%DPC Time	DPC Rate	DPCs Queued/sec	Interrupts/sec	
2014-03-24 18:36:37	  0.0				  0.0				  0.0				  0.0						  0.0				  3.0			  0.0			  0.0
2014-03-24 18:36:38	  1.6				  0.0				 98.4				  0.0						  0.8				  1.0			207.3			259.7
2014-03-24 18:36:39	  3.1				  2.3				 96.9				  0.0						  0.0				  1.0			 94.0			195.0
2014-03-24 18:36:40	  6.3				  2.3				 93.8				  0.0						  0.8				  4.0			231.5			276.2
		Time		%Processor Time	%User Time	%Idle Time	%Interrupt Time	%DPC Time	DPC Rate	DPCs Queued/sec	Interrupts/sec	
2014-03-24 18:36:47	  0.0				  0.0				  0.0				  0.0						  0.0				  0.0			  0.0			  0.0
2014-03-24 18:36:48	  0.8				  0.8				 99.2				  0.0						  0.0				  0.0			 64.2			183.6
2014-03-24 18:36:49	  0.8				  0.8				 99.2				  0.0						  0.0				  0.0			 64.0			182.0
2014-03-24 18:36:50	  0.0				  0.0				100.0				  0.0						  0.0				  0.0			 57.0			175.0
2014-03-24 18:36:51	  0.0				  0.0				100.0				  0.0						  0.0				  2.0			 70.0			189.0
2014-03-24 18:36:52	  0.0				  0.0				100.0				  0.0						  0.0				  3.0			 66.0			185.0
2014-03-24 18:36:53	  0.0				  0.0				100.0				  0.0						  0.0				  1.0			 87.0			206.0
2014-03-24 18:36:54	  0.0				  0.0				100.0				  0.0						  0.0				  5.0			190.0			255.0
		Time			%Processor Time	%User Time	%Idle Time	%Interrupt Time	%DPC Time	DPC Rate	DPCs Queued/sec	Interrupts/sec	
2014-03-24 18:37:18	  0.0				  0.0				  0.0				  0.0						  0.0				  2.0			  0.0			  0.0
2014-03-24 18:37:19	  1.6				  0.0				 98.4				  0.0						  0.8				  4.0			213.5			268.1
2014-03-24 18:37:20	  0.8				  0.0				 99.2				  0.0						  0.8				  1.0			195.0			244.9
2014-03-24 18:37:21	  0.0				  0.0				100.0				  0.0						  0.0				  0.0			 68.0			179.0
